Date,Quarter,Month,Week_Number,Region,Product_Category,Sales_Representative,Customer_Segment,Revenue_USD,Cost_USD,Profit_USD,Profit_Margin_Percent,Deal_Size_USD,Deals_Closed,Customer_Satisfaction_Score,Risk_Score,Marketing_Spend_USD,Customer_Acquisition_Cost,Employee_Count,Market_Penetration_Percent,Competitive_Pressure,Contract_Length_Months,Renewal_Probability,Churn_Risk,Lead_Source,Technology_Stack,Industry_Vertical
2024-01-07,Q1,January,1,Europe,Cloud Subscriptions,Elena Rodriguez,Mid-Market,52847.32,18396.56,34450.76,65.21,41250.78,7,8.2,2.3,7927.10,1247.85,89,42.7,Medium,12,0.87,Low,Website,Cloud-Native,Technology
2024-01-07,Q1,January,1,Asia Pacific,Professional Services,Sarah Johnson,Enterprise,78521.45,27482.51,51038.94,65.01,125847.92,3,9.1,1.8,9428.17,1876.34,234,67.3,Low,24,0.92,Low,Referral,Hybrid,Financial Services
2024-01-07,Q1,January,1,North America,Software Licenses,Mike Chen,Small Business,31247.89,12499.16,18748.73,60.01,18350.42,12,7.8,3.2,4374.30,892.45,45,23.9,High,6,0.76,Medium,Cold Outreach,On-Premise,Manufacturing
2024-01-07,Q1,January,1,Latin America,Training & Support,James Wilson,Government,65432.18,22901.26,42530.92,65.01,67894.25,5,8.7,2.1,8486.78,1653.78,156,55.8,Medium,36,0.89,Low,Trade Show,Multi-Cloud,Healthcare
2024-01-14,Q1,January,2,Middle East & Africa,Hardware,Priya Patel,Education,42186.73,16032.16,26154.57,61.99,28947.83,8,7.9,2.8,5901.34,1089.67,67,38.2,Medium,12,0.81,Medium,Partner,Hybrid,Education
2024-01-14,Q1,January,2,Europe,Cloud Subscriptions,Alex Thompson,Enterprise,89547.62,31241.67,58305.95,65.11,187324.51,2,9.3,1.5,12649.07,2134.89,312,78.4,Low,24,0.94,Low,Referral,Cloud-Native,Technology
2024-01-14,Q1,January,2,North America,Professional Services,Maria Garcia,Mid-Market,56721.84,19852.64,36869.20,65.01,52847.39,6,8.5,2.4,7962.06,1456.73,123,49.1,Medium,12,0.85,Medium,Website,Hybrid,Retail
2024-01-14,Q1,January,2,Asia Pacific,Software Licenses,David Kim,Small Business,28394.56,11357.82,17036.74,60.01,16250.34,9,7.6,3.5,3976.84,743.21,38,19.7,High,6,0.72,High,Social Media,On-Premise,Government
2024-01-21,Q1,January,3,Latin America,Training & Support,Sarah Johnson,Government,71823.45,25138.21,46685.24,65.01,89547.68,4,8.9,1.9,9573.46,1823.45,189,61.3,Medium,36,0.91,Low,Trade Show,Multi-Cloud,Healthcare
2024-01-21,Q1,January,3,Europe,Hardware,Elena Rodriguez,Education,38947.29,14801.17,24146.12,61.99,25847.93,11,8.1,2.6,5452.22,967.84,58,35.9,Medium,12,0.83,Medium,Partner,Hybrid,Education
2024-01-21,Q1,January,3,North America,Cloud Subscriptions,Mike Chen,Enterprise,95821.73,33537.61,62284.12,65.01,203847.56,2,9.5,1.3,13568.24,2387.91,367,82.1,Low,24,0.96,Low,Referral,Cloud-Native,Financial Services
2024-01-21,Q1,January,3,Middle East & Africa,Professional Services,James Wilson,Mid-Market,48562.19,16996.77,31565.42,65.01,47293.86,7,8.3,2.7,6839.51,1234.67,98,43.8,Medium,12,0.86,Low,Website,Hybrid,Technology
2024-01-28,Q1,January,4,Asia Pacific,Software Licenses,Priya Patel,Small Business,33184.72,13273.89,19910.83,60.01,19847.32,10,7.7,3.1,4646.26,856.23,47,26.4,High,6,0.74,Medium,Cold Outreach,On-Premise,Manufacturing
2024-01-28,Q1,January,4,Europe,Training & Support,Alex Thompson,Government,68947.83,24131.74,44816.09,65.01,82394.57,5,8.8,2.0,9192.05,1789.34,172,58.7,Medium,36,0.90,Low,Trade Show,Multi-Cloud,Healthcare
2024-01-28,Q1,January,4,Latin America,Hardware,Maria Garcia,Education,41823.56,15893.35,25930.21,62.01,27394.82,9,8.0,2.9,5855.70,1045.89,63,37.5,Medium,12,0.82,Medium,Partner,Hybrid,Education
2024-02-04,Q1,February,5,North America,Cloud Subscriptions,David Kim,Enterprise,98472.39,34465.34,64007.05,65.01,215847.93,2,9.4,1.4,13921.74,2456.78,389,84.6,Low,24,0.95,Low,Referral,Cloud-Native,Technology
2024-02-04,Q1,February,5,Middle East & Africa,Professional Services,Sarah Johnson,Mid-Market,51394.67,17988.13,33406.54,65.01,49825.73,6,8.4,2.5,7195.25,1345.89,107,46.2,Medium,12,0.87,Medium,Website,Hybrid,Financial Services
2024-02-04,Q1,February,5,Asia Pacific,Software Licenses,Elena Rodriguez,Small Business,29847.35,11938.94,17908.41,60.01,17894.26,11,7.9,3.3,4179.43,812.67,41,22.8,High,6,0.75,High,Social Media,On-Premise,Retail
2024-02-11,Q1,February,6,Europe,Training & Support,Mike Chen,Government,72894.51,25513.08,47381.43,65.01,91847.62,4,9.0,1.8,9708.60,1876.45,194,63.4,Medium,36,0.92,Low,Trade Show,Multi-Cloud,Healthcare
2024-02-11,Q1,February,6,Latin America,Hardware,James Wilson,Education,39521.67,15018.43,24503.24,61.99,26394.75,10,8.2,2.8,5533.03,989.23,61,36.8,Medium,12,0.84,Medium,Partner,Hybrid,Education
2024-02-18,Q1,February,7,North America,Professional Services,Priya Patel,Enterprise,85694.23,29993.03,55701.20,65.01,187593.84,3,9.2,1.6,12097.19,2142.36,298,76.9,Low,24,0.93,Low,Referral,Cloud-Native,Technology
2024-02-18,Q1,February,7,Asia Pacific,Cloud Subscriptions,Alex Thompson,Mid-Market,54821.95,19187.68,35634.27,65.01,53294.67,6,8.6,2.3,7715.07,1423.78,118,50.7,Medium,12,0.88,Low,Website,Hybrid,Financial Services
2024-02-25,Q1,February,8,Middle East & Africa,Software Licenses,Maria Garcia,Small Business,31584.72,12633.89,18950.83,60.01,18947.53,12,7.8,3.4,4421.86,867.45,44,24.3,High,6,0.73,High,Cold Outreach,On-Premise,Government
2024-03-03,Q1,March,9,Europe,Training & Support,David Kim,Government,76821.34,26887.47,49933.87,65.01,95847.29,4,9.1,1.7,10253.79,1923.67,203,65.8,Medium,36,0.93,Low,Trade Show,Multi-Cloud,Healthcare
2024-03-03,Q1,March,9,Latin America,Hardware,Sarah Johnson,Education,42394.85,16110.44,26284.41,62.01,28947.62,9,8.1,2.7,5935.48,1067.89,65,38.9,Medium,12,0.85,Medium,Partner,Hybrid,Education
2024-03-10,Q1,March,10,North America,Cloud Subscriptions,Elena Rodriguez,Enterprise,102847.56,36996.65,65850.91,64.01,231594.73,2,9.6,1.2,14539.86,2572.34,423,87.3,Low,24,0.97,Low,Referral,Cloud-Native,Financial Services
